id	title	meter	full	p1	p2	p3	p4	pr_p1	pr_p2	pr_p3	pr_p4	needs_split_practice	has_p12	has_p34	mode	artha_sa	meaning_en
ak_01_070	स्वर्गवर्गः 65		राक्षसः कोणपः क्रव्यात् क्रव्यादोऽस्रप आशरः । रात्रिञ्चरो रात्रिचरः कर्बुरो निकषात्मजः ॥७०॥	राक्षसः कोणपः क्रव्यात् क्रव्यादोऽस्रप आशरः ।		रात्रिञ्चरो रात्रिचरः कर्बुरो निकषात्मजः ॥७०॥						TRUE	TRUE	TRUE			
ak_01_071	स्वर्गवर्गः 66		यातुधानः पुण्यजनो नैरृतो यातुरक्षसी । प्रचेता वरुणः पाशी यादसांपतिरप्पतिः ॥७१॥	यातुधानः पुण्यजनो नैरृतो यातुरक्षसी ।		प्रचेता वरुणः पाशी यादसांपतिरप्पतिः ॥७१॥						TRUE	TRUE	TRUE			
ak_01_072	स्वर्गवर्गः 67		श्वसनः स्पर्शनो वायुर्मातरिश्वा सदागतिः । पृषदश्वो गन्धवहो गन्धवाहाऽनिलाऽऽशुगाः ॥७२॥	श्वसनः स्पर्शनो वायुर्मातरिश्वा सदागतिः ।		पृषदश्वो गन्धवहो गन्धवाहाऽनिलाऽऽशुगाः ॥७२॥						TRUE	TRUE	TRUE			
ak_01_073	स्वर्गवर्गः 68		समीरमारुतमरुज्जगत्प्राणसमीरणाः । नभस्वद्वातपवनपवमानप्रभञ्जनाः ॥७३॥	समीरमारुतमरुज्जगत्प्राणसमीरणाः ।		नभस्वद्वातपवनपवमानप्रभञ्जनाः ॥७३॥						TRUE	TRUE	TRUE			
ak_01_074	स्वर्गवर्गः 69		प्रकम्पनो महावातो झञ्झावातः सवृष्टिकः । प्राणोऽपानः समानश्चोदानव्यानौ च वायवः ॥७४॥	प्रकम्पनो महावातो झञ्झावातः सवृष्टिकः ।		प्राणोऽपानः समानश्चोदानव्यानौ च वायवः ॥७४॥						TRUE	TRUE	TRUE			
ak_01_075	स्वर्गवर्गः 70		शरीरस्था इमे रंहस्तरसी तु रयः स्यदः । जवोऽथ शीघ्रं त्वरितं लघु क्षिप्रमरं द्रुतम् ॥७५॥	शरीरस्था इमे रंहस्तरसी तु रयः स्यदः ।		जवोऽथ शीघ्रं त्वरितं लघु क्षिप्रमरं द्रुतम् ॥७५॥						TRUE	TRUE	TRUE			
ak_01_076	स्वर्गवर्गः 71		सत्वरं चपलं तूर्णमविलम्बितमाशु च । सततेऽनारताऽश्रान्तसंतताविरतानिशम् ॥७६॥	सत्वरं चपलं तूर्णमविलम्बितमाशु च ।		सततेऽनारताऽश्रान्तसंतताविरतानिशम् ॥७६॥						TRUE	TRUE	TRUE			
ak_01_077	स्वर्गवर्गः 72		नित्याऽनवरताऽजस्रमप्यथाऽतिशयो भरः । अतिवेलभृशाऽत्यर्थाऽतिमात्रोद्गाढनिर्भरम् ॥७७॥	नित्याऽनवरताऽजस्रमप्यथाऽतिशयो भरः ।		अतिवेलभृशाऽत्यर्थाऽतिमात्रोद्गाढनिर्भरम् ॥७७॥						TRUE	TRUE	TRUE			
ak_01_078	स्वर्गवर्गः 73		तीव्रैकान्तनितान्तानि गाढबाढदृढानि च । क्लीबे शीघ्राद्यसत्त्वे स्यात् त्रिष्वेषां सत्त्वगामि यत् ॥७८॥	तीव्रैकान्तनितान्तानि गाढबाढदृढानि च ।		क्लीबे शीघ्राद्यसत्त्वे स्यात् त्रिष्वेषां सत्त्वगामि यत् ॥७८॥						TRUE	TRUE	TRUE			
ak_01_079	स्वर्गवर्गः 74		कुबेरस्त्र्यम्बकसखो यक्षराड् गुह्यकेश्वरः । मनुष्यधर्मा धनदो राजराजो धनाधिपः ॥७९॥	कुबेरस्त्र्यम्बकसखो यक्षराड् गुह्यकेश्वरः ।		मनुष्यधर्मा धनदो राजराजो धनाधिपः ॥७९॥						TRUE	TRUE	TRUE			
ak_01_080	स्वर्गवर्गः 75		किन्नरेशो वैश्रवणः पौलस्त्यो नरवाहनः । यक्षैकपिङ्गैलविलश्रीदपुण्यजनेश्वराः ॥८०॥	किन्नरेशो वैश्रवणः पौलस्त्यो नरवाहनः ।		यक्षैकपिङ्गैलविलश्रीदपुण्यजनेश्वराः ॥८०॥						TRUE	TRUE	TRUE			
ak_01_081	स्वर्गवर्गः 76		अस्योद्यानं चैत्ररथं पुत्रस्तु नलकूबरः । कैलासः स्थानमलका पूर्विमानं तु पुष्पकम् ॥८१॥	अस्योद्यानं चैत्ररथं पुत्रस्तु नलकूबरः ।		कैलासः स्थानमलका पूर्विमानं तु पुष्पकम् ॥८१॥						TRUE	TRUE	TRUE			
ak_01_082	स्वर्गवर्गः 77		स्यात् किन्नरः किम्पुरुषस्तुरङ्गवदनो मयुः । निधिर्नाशेवधिर्भेदाः पद्मशङ्खाऽऽदयो निधेः ॥८२॥	स्यात् किन्नरः किम्पुरुषस्तुरङ्गवदनो मयुः ।		निधिर्नाशेवधिर्भेदाः पद्मशङ्खाऽऽदयो निधेः ॥८२॥						TRUE	TRUE	TRUE			
ak_01_083	स्वर्गवर्गः 78		महापद्मश्च पद्मश्च शङ्खो मकरकच्छपौ । मुकुन्दकुन्दनीलाश्च खर्वश्च निधयो नव ॥८३॥	महापद्मश्च पद्मश्च शङ्खो मकरकच्छपौ ।		मुकुन्दकुन्दनीलाश्च खर्वश्च निधयो नव ॥८३॥						TRUE	TRUE	TRUE			
				महापद्मश्च पद्मश्च शङ्खो मकरकच्छपौ ।		मुकुन्दकुन्दनीलाश्च खर्वश्च निधयो नव ॥८३॥											
